id,name,host_name,host_is_superhost,host_listings_count,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,availability_365,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
1419,Beautiful home in amazing area!,Alexandra,f,1,Little Portugal,43.64617,-79.42451,House,Entire home/apt,10,3,5,7,Real Bed,470,0,100,10,10,10,10,10,10
8077,Downtown Harbourfront Private Room,Kathie & Larry,f,2,Downtown Toronto,43.64105,-79.37628,Apartment,Private room,2,1.5,1,1,Real Bed,100,0,97,10,10,10,10,10,10
12604,Seaton Village Parlour Bedroom,Rona,f,1,The Annex,43.66724,-79.41598,House,Private room,1,1.5,1,1,Pull-out Sofa,67,0,,,,,,,
23691,Queen Bedroom close to downtown,Yohan & Sarah,t,2,Fairbank,43.69602,-79.45468,House,Private room,3,1,1,1,Real Bed,72,244,95,10,10,10,10,9,10
26654,"World Class downtown@ CN Tower! Jays, TIFF, ACC",Adela,f,7,Downtown Toronto,43.6453,-79.3894,Condominium,Entire home/apt,5,1,1,2,Real Bed,199,357,95,10,10,9,10,10,9
27423,Executive Studio Unit- Ideal for One Person,Brent,f,1,Greenwood-Coxwell,43.6689,-79.32592,Apartment,Entire home/apt,1,1,0,1,Real Bed,55,0,98,10,10,10,10,10,10
30931,Downtown Toronto - Waterview Condo,Kathie & Larry,f,2,Harbourfront,43.64151,-79.37643,Apartment,Entire home/apt,2,1.5,1,2,Real Bed,133,365,100,,,,,,
40456,Downtown 2  Bdr.Apt with King Size Bed and Parking,Denis,t,3,Parkdale,43.63532,-79.44049,House,Entire home/apt,5,1,2,2,Real Bed,125,346,92,9,9,10,10,9,9
41887,Great location,Kyle,f,2,Oakridge,43.69458,-79.28681,Apartment,Entire home/apt,2,1,0,1,Real Bed,69,236,94,10,9,10,10,9,10
43964,Bright entire 2-bedrm basement suite private entry,Mitra,t,1,Wexford/Maryvale,43.74858,-79.29111,Bungalow,Entire home/apt,4,1,2,2,Real Bed,90,361,99,10,10,10,10,10,10
44452,Yonge & Bloor Studio Skyline,Urbano,f,18,Rosedale,43.67185,-79.38583,Apartment,Entire home/apt,2,1,1,1,Real Bed,141,242,80,9,8,9,10,10,8
44469,Yonge & Bloor 2 Bedroom Apartment,Urbano,f,18,Rosedale,43.67136,-79.38598,Apartment,Private room,2,1,1,1,Real Bed,110,281,80,9,8,9,10,10,8
45399,Fountain View Studio - Eaton center,Urbano,f,18,Garden District,43.65972,-79.38172,Condominium,Entire home/apt,3,1,0,1,Real Bed,145,313,82,9,8,9,9,10,8
45453,Yonge & Bloor 2 Bedroom Master,Urbano,f,18,Rosedale,43.67191,-79.38585,Apartment,Private room,2,1,1,1,Real Bed,105,281,83,9,6,9,9,10,9
45893,Yonge & Bloor Lakeview Master BR  ,Urbano,f,18,Rosedale,43.67105,-79.38481,Apartment,Private room,2,1,1,1,Real Bed,105,222,84,8,7,9,9,10,8
50110,Yorkville one bedroom Condo,Urbano,f,18,Downtown Toronto,43.66899,-79.38548,Apartment,Entire home/apt,3,1,1,1,Real Bed,161,335,92,10,9,10,10,10,9
51616,Large room in trendy King Street West.,John,t,1,Niagara,43.64296,-79.40451,Condominium,Private room,2,1,1,1,Real Bed,54,179,98,10,10,10,10,10,10
62545,Furnished Heritage Rooms Downtown 1,Kintoo,f,6,Niagara,43.6458,-79.40769,House,Private room,1,0.5,1,1,Real Bed,65,232,97,9,9,10,10,9,10
64003,Downtown Toronto 4BR Townhouse,Jerome,f,1,Downtown Toronto,43.65955,-79.36701,Townhouse,Entire home/apt,9,2.5,4,5,Real Bed,350,81,96,10,9,10,10,9,10
64641,Furnished Heritage Rooms Downtown,Kintoo,f,6,Niagara,43.6444,-79.40829,House,Private room,1,0.5,1,1,Real Bed,65,296,95,10,9,10,10,10,9
64645,Furnished Heritage Suite Downtown,Kintoo,f,6,Niagara,43.64585,-79.40853,House,Private room,1,1,1,1,Real Bed,88,282,98,10,10,9,10,10,9
65238,Zen South Facing Bedroom in Quiet Art-Filled Home,Magali,t,2,Dufferin Grove,43.65853,-79.42709,House,Private room,1,1,1,1,Real Bed,56,293,98,10,10,10,10,10,10
69464,Yonge & Bloor one bedroom Condo,Urbano,f,18,Rosedale,43.67094,-79.38581,Serviced apartment,Entire home/apt,3,1,1,1,Real Bed,149,339,91,9,9,10,10,10,9
75051,"GreatSpace,Backyard, 5min to Subway",Sandra,t,2,Dufferin Grove,43.65956,-79.43228,House,Entire home/apt,2,1,1,1,Real Bed,145,99,97,10,10,10,10,10,10
82694,Luxury Hotel Downtown Living !!,Caterina,f,1,Niagara,43.64171,-79.40469,Apartment,Entire home/apt,2,,1,1,Real Bed,107,342,96,9,9,9,9,10,9
84076,A short walk to TIFF,Darryl,f,1,Niagara,43.64457,-79.40451,Condominium,Entire home/apt,2,1,1,1,Real Bed,145,0,87,9,7,10,10,10,8
84151,North City View Yonge/Bloor,Urbano,f,18,Downtown Toronto,43.67033,-79.38612,Apartment,Entire home/apt,3,1,1,1,Real Bed,145,303,89,9,8,10,10,10,9
89575,Private bedroom close to downtown,Yohan & Sarah,t,2,Fairbank,43.69662,-79.45325,House,Private room,1,1,1,1,Real Bed,62,251,92,9,10,9,10,9,9
96336,John & Bren's Queen West 3 bedroom townhouse,John,t,1,Niagara,43.64458,-79.41022,Townhouse,Entire home/apt,5,2,3,3,Real Bed,235,185,99,10,10,10,10,10,10
98136,Two Bedroom House on Toronto Island,Anthea,f,1,Toronto Islands,43.63266,-79.35616,House,Entire home/apt,5,1,2,3,Real Bed,300,40,99,10,10,10,10,10,10
104096,Hip and modern family-friendly home,Avery,f,1,Riverdale,43.66527,-79.32934,House,Entire home/apt,6,2,2,2,Real Bed,175,261,98,10,10,10,10,9,10
104722,Annex apartment - with great deck!,Carly,f,1,The Annex,43.67175,-79.40398,Apartment,Entire home/apt,2,1,1,1,Real Bed,160,0,100,10,10,10,10,10,10
112842,Gorgeous Condo near High Park!!,Micheline,f,3,High Park North,43.65623,-79.46667,Apartment,Entire home/apt,2,1,1,1,Real Bed,54,313,98,9,9,10,10,10,10
113175,Best luxury location in downtown Toronto!,Faria,t,1,Downtown Toronto,43.64123,-79.39339,Condominium,Entire home/apt,2,1,1,1,Real Bed,105,204,90,9,9,9,9,10,9
119441,STYLISH  LAKEVIEW / KING SIZE BED/DOWNTOWN+PARKING,Denis,t,3,Parkdale,43.63559,-79.44048,House,Entire home/apt,3,1,1,1,Real Bed,200,362,96,9,10,10,10,9,10
122492,Sunny & Stylish Aprtmnt w easy access to dwntwn,Brett,f,1,Danforth Village,43.68872,-79.3299,Apartment,Entire home/apt,3,1,1,1,Real Bed,89,106,95,10,10,10,10,9,10
127380,"pleasant apt, centrally located",Peggy,t,1,Forest Hill,43.7037,-79.4082,Apartment,Private room,2,1,2,1,Real Bed,60,353,94,10,9,10,10,10,10
131401,WATERFRONT LUXURY SUITE - DOWNTOWN,WaterfrontExecSuites,f,2,Niagara,43.63633,-79.40076,Condominium,Entire home/apt,2,1,1,1,Real Bed,68,0,90,9,8,9,8,10,9
137099,Beautiful 3 Bedroom Home in Little Italy!,Vinita + Joe,t,2,Palmerston/Little Italy,43.65781,-79.42065,House,Entire home/apt,6,1.5,3,3,Real Bed,239,98,95,9,9,9,10,10,9
138613,Warm Family Home Downtown Toronto,Jodi,f,1,Little Portugal,43.64776,-79.42709,House,Entire home/apt,4,1,3,4,Real Bed,180,0,100,10,9,10,10,10,8
146601,Modern 1BR Downtown - Blue Jays Way,Brian,f,1,Downtown Toronto,43.64551,-79.39274,Apartment,Entire home/apt,3,1,1,1,Real Bed,120,39,97,10,9,10,9,10,9
148945,Downtown Toronto Near Lake Ontario,John,f,2,Downtown Toronto,43.64835,-79.36302,Townhouse,Private room,1,1,1,1,Real Bed,80,306,97,9,9,10,10,10,9
149420,Bloor West Village 1 Bedroom ,Jeannie,f,1,Swansea,43.64618,-79.48833,Apartment,Entire home/apt,2,1,1,1,Real Bed,80,179,98,10,10,10,10,10,10
